"Vertical_Segment","Lithography","nb_of_Cores","nb_of_Threads","Processor_Base_Frequency","TDP","Max_Memory_Size","Max_Memory_Bandwidth","Max_nb_of_PCI_Express_Lanes"
"Desktop",14,2,4,2900,35,64,25.6,16
"Desktop",14,2,4,3700,51,64,25.6,16
"Desktop",14,2,4,3600,51,64,25.6,16
"Desktop",14,2,4,3000,35,64,25.6,16
"Desktop",22,2,2,3000,53,32,21.3,16
"Desktop",22,2,2,3100,53,32,21.3,16
"Desktop",22,2,2,2600,35,32,21.3,16
"Desktop",22,2,2,2700,35,32,21.3,16
"Desktop",22,2,2,3200,53,32,21.3,16
"Desktop",22,2,2,3200,53,32,21.3,16
"Desktop",22,2,2,3300,53,32,21.3,16
"Desktop",22,2,2,2800,35,32,21.3,16
"Desktop",22,2,2,2900,35,32,21.3,16
"Embedded",22,2,2,2300,35,32,21.3,16
"Desktop",22,2,2,3200,53,32,25.6,16
"Desktop",22,2,2,2700,35,32,25.6,16
"Desktop",22,2,2,3300,53,32,25.6,16
"Desktop",22,2,2,3300,53,32,25.6,16
"Desktop",22,2,2,2800,35,32,25.6,16
"Desktop",22,2,2,3400,53,32,25.6,16
"Desktop",22,2,2,2900,35,32,25.6,16
"Desktop",22,2,2,3500,53,32,25.6,16
"Desktop",22,2,2,3000,35,32,25.6,16
"Desktop",22,2,2,3600,53,32,25.6,16
"Embedded",22,2,2,1500,25,32,25.6,16
"Mobile",22,2,2,2000,37,32,25.6,16
"Mobile",22,2,2,1400,15,16,25.6,10
"Mobile",22,2,2,1400,15,16,25.6,10
"Mobile",22,2,2,2200,37,32,25.6,16
"Mobile",22,2,2,1100,11.5,16,25.6,12
"Mobile",22,2,2,1600,15,16,25.6,12
"Mobile",22,2,2,1600,15,16,25.6,12
"Mobile",22,2,2,1900,35,32,25.6,1
"Mobile",22,2,2,1500,17,32,25.6,1
"Mobile",22,2,2,1600,17,32,25.6,1
"Mobile",22,2,2,1000,10,32,25.6,16
"Embedded",22,2,2,2200,35,16,25.6,1
"Mobile",22,2,2,2100,35,32,25.6,1
"Mobile",22,2,2,1800,17,32,25.6,1
"Embedded",22,2,2,1400,17,16,25.6,1
"Desktop",65,1,4,3460,65,32,25.6,16
"Desktop",65,1,4,3330,86,32,25.6,16
"Desktop",90,1,4,3330,84,32,25.6,16
"Desktop",65,1,4,3200,86,32,25.6,16
"Desktop",90,1,4,3200,84,32,25.6,16
"Desktop",90,1,4,3200,73,32,25.6,16
"Desktop",90,1,4,3200,73,32,25.6,16
"Desktop",65,1,4,3060,86,32,25.6,16
"Desktop",90,1,4,3060,84,32,25.6,16
"Desktop",90,1,4,3060,84,32,25.6,16
"Desktop",90,1,4,3060,73,32,25.6,16
"Desktop",90,1,4,2930,84,32,25.6,16
"Desktop",90,1,4,2930,84,32,25.6,16
"Desktop",32,1,4,300,18.48,32,25.6,16
"Desktop",90,1,4,2930,73,32,25.6,16
"Desktop",32,1,4,266,16.59,32,25.6,16
"Desktop",90,1,4,2800,84,32,25.6,16
"Desktop",250,1,4,466,47,32,25.6,16
"Mobile",130,1,4,650,8.3,32,25.6,16
"Desktop",90,1,4,2800,84,32,25.6,16
"Desktop",180,1,4,766,20,32,25.6,16
"Desktop",130,1,4,2800,68.4,32,25.6,16
"Desktop",90,1,4,2800,73,32,25.6,16
"Mobile",180,1,4,933,20.6,32,25.6,16
"Desktop",180,1,4,733,23.6,32,25.6,16
"Desktop",130,1,4,2700,66.8,32,25.6,16
"Mobile",90,1,4,1000,5.5,32,25.6,16
"Desktop",90,1,4,2800,73,32,25.6,16
"Mobile",180,1,4,400,6.5,32,25.6,16
"Desktop",180,1,4,950,28,32,25.6,16
"Desktop",180,1,4,700,18.3,32,25.6,16
"Desktop",130,1,4,2600,62.6,32,25.6,16
"Mobile",90,1,4,1000,5.5,32,25.6,16
"Desktop",90,1,4,2660,84,32,25.6,16
"Mobile",32,1,2,1500,17,16,21.3,16
"Mobile",32,2,2,1500,35,16,21.3,16
"Desktop",32,2,2,2400,65,32,17,16
"Mobile",180,1,4,900,24,32,25.6,16
"Mobile",180,1,4,866,23.3,32,25.6,16
"Desktop",130,1,4,900,34.8,32,25.6,16
"Desktop",180,1,4,667,17.5,32,25.6,16
"Desktop",130,1,4,2500,61,32,25.6,16
"Mobile",90,1,4,900,5,32,25.6,16
"Desktop",90,1,4,2660,84,32,25.6,16
"Embedded",32,1,1,1000,10,4.88,25.6,16
"Mobile",32,2,2,1600,35,16.6,21.3,16
"Desktop",32,2,2,2000,35,32,17,16
"Mobile",180,1,4,850,18.8,32,25.6,16
"Mobile",130,1,4,2500,61,32,25.6,16
"Desktop",180,1,4,900,26.7,32,25.6,16
"Desktop",180,1,4,633,16.5,32,25.6,16
"Desktop",130,1,4,2400,59.8,32,25.6,16
"Mobile",130,1,4,900,7,32,25.6,16
"Desktop",90,1,4,2660,73,32,25.6,16
"Embedded",32,1,1,1400,17,16.6,21.3,16
"Embedded",32,2,2,1600,35,16.6,21.3,16
"Desktop",32,2,2,2500,65,32,17,16
"Mobile",180,1,4,800,22,32,25.6,16
"Mobile",180,1,4,800,17.6,32,25.6,16
"Mobile",130,1,4,2400,35,32,25.6,16
"Desktop",180,1,4,850,25.7,32,25.6,16
"Desktop",180,1,4,600,15.8,32,25.6,16
"Desktop",130,1,4,2300,58.3,32,25.6,16
"Mobile",90,1,4,1700,21,32,25.6,16
"Desktop",90,1,4,2660,73,32,25.6,16
"Mobile",32,2,2,1600,35,16,21.3,16
"Mobile",32,2,4,1100,17,16,21.3,16
"Desktop",32,2,2,2100,35,32,17,16
"Mobile",65,1,4,1000,10,32,25.6,16
"Mobile",130,1,4,600,7,32,25.6,16
"Mobile",130,1,4,733,47,32,25.6,16
"Mobile",180,1,4,750,15.8,32,25.6,16
"Mobile",130,1,4,2200,35,32,25.6,16
"Desktop",180,1,4,800,20.8,32,25.6,16
"Desktop",180,1,4,566,19.2,32,25.6,16
"Desktop",130,1,4,2200,57.1,32,25.6,16
"Mobile",90,1,4,1600,21,32,25.6,16
"Desktop",90,1,4,2530,84,32,25.6,16
"Mobile",32,2,2,1700,35,16,21.3,16
"Embedded",32,2,2,1100,17,16.6,21.3,16
"Desktop",32,2,2,2600,65,32,17,16
"Mobile",65,1,4,1730,27,32,25.6,16
"Mobile",65,1,4,1200,5.5,32,25.6,16
"Mobile",180,1,4,733,20.6,32,25.6,16
"Mobile",180,1,4,700,15,32,25.6,16
"Mobile",130,1,4,2000,32,32,25.6,16
"Desktop",250,1,4,533,28.3,32,25.6,16
"Desktop",130,1,4,2100,55.5,32,25.6,16
"Desktop",130,1,4,1400,34.8,32,25.6,16
"Mobile",130,1,4,800,7,32,25.6,16
"Mobile",90,1,4,1500,21,32,25.6,16
"Desktop",90,1,4,2530,84,32,25.6,16
"Mobile",32,2,2,1800,35,16,21.3,16
"Mobile",32,2,2,1200,17,16,21.3,16
"Desktop",32,2,2,2200,35,32,17,16
"Mobile",32,1,4,466,20.7,32,25.6,16
"Desktop",65,1,4,2200,35,32,25.6,16
"Mobile",65,1,4,930,5.5,32,25.6,16
"Mobile",65,1,4,1860,30,32,25.6,16
"Mobile",180,1,4,650,14,32,25.6,16
"Mobile",130,1,4,1800,66.1,32,25.6,16
"Mobile",130,1,4,1330,19,32,25.6,16
"Desktop",250,1,4,500,27,32,25.6,16
"Desktop",130,1,4,2000,52.8,32,25.6,16
"Desktop",130,1,4,1300,33.4,32,25.6,16
"Mobile",65,1,4,1060,5.5,32,25.6,16
"Mobile",90,1,4,1400,21,32,25.6,16
"Desktop",90,1,4,2530,84,32,25.6,16
"Desktop",32,2,2,2700,65,32,17,16
"Mobile",32,2,2,1300,17,16,21.3,16
"Mobile",32,2,2,1900,35,16,21.3,16
"Mobile",32,1,1,1600,35,16,21.3,16
"Desktop",32,1,1,1600,35,32,17,16
"Mobile",32,1,4,433,19.4,32,25.6,16
"Desktop",45,2,4,2700,65,32,25.6,16
"Mobile",65,2,4,1830,35,32,25.6,16
"Mobile",65,1,4,2000,31,32,25.6,16
"Mobile",180,1,4,600,13,32,25.6,16
"Mobile",130,1,4,1700,30,32,25.6,16
"Desktop",250,1,4,433,24.1,32,25.6,16
"Desktop",130,1,4,1200,32.1,32,25.6,16
"Mobile",65,1,4,2000,27,32,25.6,16
"Mobile",90,1,4,1300,21,32,25.6,16
"Desktop",90,1,4,2530,73,32,25.6,16
"Mobile",32,2,2,1400,17,16,21.3,16
"Mobile",32,1,1,1700,35,16,21.3,16
"Desktop",32,1,2,1800,35,32,17,16
"Mobile",32,1,4,400,13.8,32,25.6,16
"Desktop",45,2,4,2600,65,32,25.6,16
"Mobile",45,2,4,2100,35,32,25.6,16
"Mobile",65,2,4,1660,35,32,25.6,16
"Desktop",65,2,4,1600,65,32,25.6,16
"Mobile",65,1,4,2130,31,32,25.6,16
"Mobile",65,1,4,1330,27,32,25.6,16
"Mobile",32,1,4,550,47,32,25.6,16
"Mobile",130,1,4,1600,30,32,25.6,16
"Desktop",250,1,4,400,23.7,32,25.6,16
"Mobile",130,1,4,1200,24.4,32,25.6,16
"Desktop",130,1,4,1800,66.1,32,25.6,16
"Desktop",130,1,4,1100,28.9,32,25.6,16
"Mobile",65,1,4,1860,27,32,25.6,16
"Mobile",130,1,4,1500,24.5,32,25.6,16
"Desktop",90,1,4,2400,73,32,25.6,16
"Desktop",32,1,2,1900,35,32,17,16
"Mobile",32,2,2,1500,17,16,21.3,16
"Embedded",32,1,2,1300,10,16,21.3,16
"Mobile",32,2,2,2000,35,8,17.1,16
"Mobile",32,2,2,1200,18,8,12.8,16
"Mobile",32,1,4,366,13.1,32,25.6,16
"Mobile",45,2,4,2000,35,32,25.6,16
"Desktop",45,2,4,2500,65,32,25.6,16
"Mobile",45,1,4,2200,35,32,25.6,16
"Mobile",45,1,4,1300,10,32,25.6,16
"Mobile",65,1,4,2260,31,32,25.6,16
"Desktop",65,2,4,2000,65,32,25.6,16
"Desktop",65,1,4,2000,35,32,25.6,16
"Mobile",32,1,4,500,47,32,25.6,16
"Mobile",130,1,4,1500,30,32,25.6,16
"Desktop",250,1,4,366,21.7,32,25.6,16
"Mobile",130,1,4,1130,23.8,32,25.6,16
"Desktop",130,1,4,1700,63.5,32,25.6,16
"Mobile",65,1,4,1730,27,32,25.6,16
"Desktop",180,1,4,1100,33,32,25.6,16
"Mobile",130,1,4,1400,24.5,32,25.6,16
"Desktop",90,1,4,2260,73,32,25.6,16
"Desktop",32,1,2,2000,35,32,17,16
"Mobile",32,1,1,1300,17,16,21.3,16
"Mobile",45,1,4,2300,35,32,25.6,16
"Mobile",32,2,2,1060,18,8,17.1,16
"Mobile",32,1,4,300,11.8,32,25.6,16
"Desktop",90,1,4,2400,84,32,25.6,16
"Mobile",32,2,2,1860,35,8,17.1,16
"Desktop",45,2,4,2400,65,32,25.6,16
"Mobile",45,1,4,1200,10,32,25.6,16
"Mobile",65,1,4,2000,31,32,25.6,16
"Desktop",65,2,4,2200,65,32,25.6,16
"Desktop",65,1,4,1800,35,32,25.6,16
"Mobile",65,1,4,1730,30,32,25.6,16
"Desktop",65,1,4,1830,27,32,25.6,16
"Mobile",180,1,4,450,15.5,32,25.6,16
"Mobile",130,1,4,1400,30,32,25.6,16
"Mobile",130,1,4,1060,23.2,32,25.6,16
"Desktop",250,1,4,333,19.7,32,25.6,16
"Desktop",130,1,4,1000,27.8,32,25.6,16
"Mobile",65,1,4,1600,27,32,25.6,16
"Mobile",130,1,4,1300,24.5,32,25.6,16
"Desktop",90,1,4,2260,73,32,25.6,16
"Embedded",22,1,1,1500,17,16,25.6,1
"Mobile",32,1,1,1400,17,16,21.3,16
"Mobile",45,1,4,1400,10,32,25.6,16
"Mobile",32,1,4,266,9.8,32,25.6,16
"Mobile",32,2,2,1060,18,8,12.8,16
"Embedded",45,1,2,1330,30,32,25.6,16
"Mobile",32,2,2,1860,35,8,17.1,16
"Mobile",45,2,4,1200,10,32,25.6,16
"Mobile",45,2,4,1900,35,32,25.6,16
"Mobile",45,1,4,1200,5.5,32,25.6,16
"Mobile",65,1,4,2160,31,32,25.6,16
"Desktop",65,2,4,2400,65,32,25.6,16
"Desktop",65,1,4,1200,19,32,25.6,16
"Desktop",65,1,4,1660,27,32,25.6,16
"Desktop",65,1,4,1600,35,32,25.6,16
"Mobile",65,1,4,1600,30,32,25.6,16
"Mobile",130,1,4,1200,20.8,32,25.6,16
"Mobile",130,1,4,1000,22,32,25.6,16
"Desktop",250,1,4,300,17.8,32,25.6,16
"Desktop",180,1,4,1000,29,32,25.6,16
"Mobile",65,1,4,1460,27,32,25.6,16
"Mobile",130,1,4,1200,24.5,32,25.6,16
"Desktop",90,1,4,2130,73,32,25.6,16
"Server",14,8,8,1700,85,768,25.6,48
"Server",14,8,16,1800,85,768,25.6,48
"Server",14,8,16,2000,70,768,25.6,48
"Server",14,8,16,2100,85,768,25.6,48
"Server",14,4,8,2600,85,768,25.6,48
"Server",14,10,20,2200,85,768,25.6,48
"Server",14,10,20,2200,85,768,25.6,48
"Server",14,12,24,2100,85,768,25.6,48
"Server",14,12,24,2100,85,768,25.6,48
"Server",14,10,20,2400,85,768,25.6,48
"Server",14,12,24,2300,105,768,25.6,48
"Server",14,14,28,1900,85,768,25.6,48
"Server",14,14,28,2200,105,768,25.6,48
"Server",14,4,8,3600,105,768,25.6,48
"Server",14,14,28,2200,105,768,25.6,48
"Server",14,12,24,2600,125,768,25.6,48
"Server",14,12,24,2600,135,768,25.6,48
"Server",14,12,24,2600,125,768,25.6,48
"Server",14,6,12,3400,115,768,25.6,48
"Server",14,16,32,2100,125,768,25.6,48
"Server",14,16,32,2100,135,768,25.6,48
"Server",14,16,32,2100,125,768,25.6,48
"Server",14,14,28,2600,140,768,25.6,48
"Server",14,8,16,3200,130,32,25.6,48
"Server",14,8,16,3200,130,768,25.6,48
"Server",14,12,24,3000,150,768,25.6,48
"Server",14,20,40,2000,125,768,25.6,48
"Server",14,20,40,2000,135,768,25.6,48
"Server",14,20,40,2000,125,768,25.6,48
"Server",14,18,36,2300,140,768,25.6,48
"Server",14,18,36,2300,140,32,25.6,48
"Server",14,16,32,2600,150,768,25.6,48
"Server",14,16,32,2600,150,32,25.6,48
"Server",14,8,16,3500,150,768,25.6,48
"Server",14,16,32,2600,160,768,25.6,48
"Server",14,12,24,3200,165,768,25.6,48
"Server",14,20,40,2400,150,768,25.6,48
"Server",14,20,40,2400,160,768,25.6,48
"Server",14,18,36,2700,165,768,25.6,48
"Server",14,22,44,2100,140,768,25.6,48
"Server",14,18,36,3000,200,768,25.6,48
"Server",14,16,32,2000,125,768,25.6,48
"Server",14,4,8,3600,105,768,25.6,48
"Server",14,12,24,3000,150,768,25.6,48
"Server",14,24,48,2100,150,768,25.6,48
"Server",14,24,48,2100,160,768,25.6,48
"Server",14,24,48,2100,150,768,25.6,48
"Server",14,24,48,2100,150,32,25.6,48
"Server",14,26,52,2000,150,768,25.6,48
"Server",14,24,48,2700,205,768,25.6,48
"Server",14,26,52,2100,165,768,25.6,48
"Server",14,26,52,2100,165,32,25.6,48
"Server",14,28,56,2100,165,768,25.6,48
"Server",14,28,56,2100,173,768,25.6,48
"Server",14,28,56,2100,165,32,25.6,48
"Server",14,28,56,2500,205,768,25.6,48
"Server",14,28,56,2500,205,32,25.6,48
"Server",14,14,28,2000,115,32,85,32
"Server",14,10,20,2000,115,32,85,32
"Server",14,16,32,2100,115,32,85,32
"Server",14,18,36,2200,140,32,85,32
"Server",14,18,36,2400,165,32,85,32
"Server",14,20,40,2100,140,32,85,32
"Server",14,22,44,2200,150,32,85,32
"Server",14,24,48,2200,165,32,85,32
"Server",14,10,20,2800,165,32,85,32
"Server",14,4,8,3200,140,32,85,32
"Server",14,24,48,2400,165,32,85,32
"Server",22,12,24,2100,115,32,85,32
"Server",22,10,20,1900,115,32,85,32
"Server",22,14,28,2200,115,32,85,32
"Server",22,16,32,2200,140,32,85,32
"Server",22,16,32,2500,165,32,85,32
"Server",22,18,36,2100,140,32,85,32
"Server",22,18,36,2300,150,32,85,32
"Server",22,18,36,2000,115,32,85,32
"Server",22,18,36,2500,165,32,85,32
"Server",22,10,20,2800,165,32,85,32
"Server",22,4,8,3200,140,32,85,32
"Server",22,15,30,2300,130,32,85,32
"Server",22,15,30,2500,130,32,85,32
"Server",22,15,30,2800,155,32,85,32
"Server",22,6,12,1900,105,32,68,32
"Server",22,8,16,2000,105,32,68,32
"Server",22,10,20,2200,105,32,68,32
"Server",22,12,24,2300,105,32,68,32
"Server",22,12,24,2600,130,32,85,32
"Server",22,15,30,2300,130,32,85,32
"Server",22,15,30,2500,130,32,85,32
"Server",22,15,30,2800,155,32,85,32
"Server",22,6,12,3400,155,32,85,32
"Server",22,10,20,3200,155,32,85,32
"Server",22,15,30,2800,155,32,85,32
"Server",22,15,30,2200,105,32,85,32
"Server",22,15,30,2500,130,32,85,32
"Server",22,15,30,2300,130,32,85,32
"Server",22,12,12,3000,130,32,85,32
"Server",22,12,24,2300,105,32,68,32
"Server",32,8,16,2000,105,32,25.6,16
"Server",32,8,16,2130,105,32,25.6,16
"Server",32,10,20,2000,130,32,25.6,16
"Server",32,10,20,2260,130,32,25.6,16
"Server",32,10,20,2400,130,32,25.6,16
"Server",32,6,12,1860,95,32,25.6,16
"Server",32,8,16,2000,105,32,25.6,16
"Server",32,8,16,2130,105,32,25.6,16
"Server",32,10,20,2000,130,32,25.6,16
"Server",32,10,20,2260,130,32,25.6,16
"Server",32,10,20,2400,130,32,25.6,16
"Server",32,8,16,2130,105,32,25.6,16
"Server",32,8,8,2660,130,32,25.6,16
"Server",32,10,20,2000,130,32,25.6,16
"Server",32,10,20,2260,130,32,25.6,16
"Server",32,10,20,2130,105,32,25.6,16
"Server",32,10,20,2400,130,32,25.6,16
"Mobile",14,2,4,2600,15,16,25.6,12
"Mobile",14,2,4,2200,15,16,25.6,12
"Desktop",14,4,8,3300,65,32,25.6,16
"Desktop",14,4,8,3300,65,32,29.86,16
"Mobile",14,4,8,2700,47,32,25.6,16
"Embedded",14,4,8,2600,47,32,25.6,16
"Mobile",14,4,8,2500,47,32,25.6,16
"Embedded",14,4,8,2700,47,32,25.6,16
"Mobile",14,4,8,2700,47,32,25.6,16
"Mobile",14,4,8,2900,47,32,25.6,16
"Mobile",14,2,4,2400,15,16,25.6,12
"Mobile",14,2,4,900,4.5,16,29.8,10
"Desktop",14,2,4,3600,54,64,34.1,16
"Mobile",14,2,4,3100,28,32,34.1,12
"Mobile",14,2,4,2900,28,32,34.1,12
"Mobile",14,2,4,1000,4.5,16,29.8,10
"Mobile",14,2,4,3000,35,64,34.1,16
"Mobile",14,2,4,2400,15,32,34.1,12
"Mobile",14,2,4,2800,28,32,34.1,12
"Desktop",14,2,4,3900,51,64,25.6,16
"Embedded",14,2,4,2900,35,64,34.1,16
"Desktop",14,2,4,3400,35,64,25.6,16
"Desktop",14,2,4,3400,35,64,34.1,16
"Desktop",14,2,4,3900,54,64,34.1,16
"Embedded",14,2,4,2100,25,64,34.1,16
"Mobile",14,2,4,2700,15,32,34.1,12
"Desktop",14,2,4,3500,35,64,25.6,16
"Desktop",14,2,4,4000,51,64,25.6,16
"Desktop",14,2,4,4100,51,64,25.6,16
"Desktop",14,2,4,4200,60,64,25.6,16
"Mobile",14,2,4,1100,4.5,16,29.8,10
"Mobile",14,2,4,2500,15,32,34.1,12
"Mobile",14,2,4,2200,15,32,34.1,12
"Mobile",14,2,4,3300,28,32,34.1,12
"Mobile",14,2,4,2600,15,32,34.1,12
"Mobile",14,2,4,2200,15,32,34.1,12
"Mobile",14,2,4,2400,15,32,34.1,12
"Mobile",14,4,8,2600,45,64,34.1,16
"Mobile",14,4,8,2600,45,64,34.1,16
"Desktop",14,4,8,3400,65,64,34.1,16
"Embedded",14,4,8,2400,35,64,34.1,16
"Desktop",14,4,8,2800,35,64,34.1,16
"Desktop",14,4,8,4000,91,64,34.1,16
"Desktop",14,4,8,3300,65,64,34.1,16
"Embedded",14,4,8,2800,45,64,34.1,16
"Mobile",14,4,8,2700,45,64,34.1,16
"Mobile",14,4,8,2700,45,64,34.1,16
"Embedded",14,4,8,2000,25,64,34.1,16
"Mobile",14,4,8,2700,45,64,34.1,16
"Mobile",14,4,8,2900,45,64,34.1,16
"Mobile",14,4,8,2800,45,64,34.1,16
"Mobile",14,2,4,1800,15,32,34.1,12
"Mobile",14,2,4,2300,15,32,34.1,12
"Mobile",14,2,4,2400,15,32,34.1,12
"Mobile",14,4,4,2300,45,64,34.1,16
"Mobile",14,4,4,2300,45,64,34.1,16
"Mobile",14,2,4,2000,15,32,34.1,12
"Embedded",14,4,4,1900,25,64,34.1,16
"Mobile",14,4,4,2600,45,64,34.1,16
"Embedded",14,4,4,2700,45,64,34.1,16
"Desktop",14,4,4,2200,35,64,34.1,16
"Desktop",14,4,4,2700,65,64,34.1,16
"Desktop",14,4,4,2800,65,64,34.1,16
"Embedded",14,4,4,2300,35,64,34.1,16
"Desktop",14,4,4,2500,35,64,34.1,16
"Desktop",14,4,4,3200,65,64,34.1,16
"Desktop",14,4,4,2800,65,64,34.1,16
"Desktop",14,4,4,2700,35,64,34.1,16
"Desktop",14,4,4,3500,91,64,34.1,16
"Desktop",14,4,4,3200,65,64,34.1,16
"Desktop",14,4,4,3300,65,64,34.1,16
"Mobile",14,2,4,2000,15,32,34.1,12
"Embedded",14,2,4,2700,35,64,34.1,16
"Desktop",14,2,4,3200,35,64,34.1,16
"Desktop",14,2,4,3700,51,64,34.1,16
"Mobile",14,2,4,2700,28,32,34.1,12
"Mobile",14,2,4,2400,28,32,34.1,12
"Embedded",14,2,4,1900,25,64,34.1,16
"Mobile",14,2,4,2300,15,32,34.1,12
"Mobile",14,2,4,2700,35,64,34.1,16
"Desktop",14,2,4,3900,51,64,34.1,16
"Desktop",14,2,4,3300,35,64,34.1,16
"Embedded",14,2,4,2700,35,64,34.1,16
"Desktop",14,2,4,3800,51,64,34.1,16
"Mobile",14,2,4,1100,4.5,16,29.8,10
"Mobile",14,2,4,1100,4.5,16,29.8,10
"Mobile",14,2,4,1200,4.5,16,29.8,10
"Mobile",14,2,4,2000,15,16,25.6,12
"Mobile",14,2,4,3100,28,16,25.6,12
